name,NcbiTaxonomyID,habitat,hostid,hostname
Pediococcus pentosaceus ATCC 25745,278197,Multiple,0,NA
Oenococcus oeni PSU-1,203123,Multiple,0,NA
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,321956,Multiple,9606,Homo sapiens
Lactobacillus gasseri ATCC 33323,324831,HostAssociated,9606,Homo sapiens
Streptococcus pneumoniae D39,373153,Multiple,9606,Homo sapiens
Candidatus Solibacter usitatus Ellin6076,234267,Terrestrial,0,NA
Arthrobacter sp. FB24,290399,Soil,0,NA
Burkholderia cenocepacia HI2424,331272,HostAssociated,9606,Homo sapiens
Methanosaeta thermophila PT,349307,Fresh water Rice paddies Sediment,0,NA
Syntrophobacter fumaroxidans MPOB,335543,Aquatic,0,NA
Listeria welshimeri serovar 6b str. SLCC5334,386043,Multiple,0,NA
Escherichia coli APEC O1,405955,HostAssociated,9606,Homo sapiens
Aeromonas hydrophila subsp. hydrophila ATCC 7966,380703,Multiple,9606,Homo sapiens
Gramella forsetii KT0803,411154,Multiple,0,NA
Shewanella sp. ANA-3,94122,Multiple,0,NA
Magnetococcus sp. MC-1,156889,Aquatic,0,NA
Acidothermus cellulolyticus 11B,351607,Aquatic,0,NA
Clostridium novyi NT,386415,Terrestrial,0,NA
Mycobacterium avium 104,243243,HostAssociated,9606,Homo sapiens
Mycobacterium smegmatis str. MC2 155,246196,HostAssociated,9606,Homo sapiens
Bacillus thuringiensis str. Al Hakam,412694,Multiple,9606,Homo sapiens
Campylobacter fetus subsp. fetus 82-40,360106,HostAssociated,9606,Homo sapiens
Francisella novicida U112,401614,Multiple,9606,Homo sapiens
Pelobacter propionicus DSM 2379,338966,Multiple,0,NA
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),413404,HostAssociated,0,NA
Bifidobacterium adolescentis ATCC 15703,367928,HostAssociated,9606,Homo sapiens
Chlorobium phaeobacteroides DSM 266,290317,Aquatic,0,NA
Paracoccus denitrificans PD1222,318586,Multiple,0,NA
Thermofilum pendens Hrk 5,368408,Specialized,0,NA
Nocardioides sp. JS614,196162,Terrestrial,0,NA
Shewanella amazonensis SB2B,326297,Multiple,0,NA
Pyrobaculum islandicum DSM 4184,384616,Specialized,0,NA
Azoarcus sp. BH72,418699,HostAssociated,0,NA
Mycobacterium sp. KMS,189918,Multiple,0,NA
Psychromonas ingrahamii 37,357804,Aquatic,0,NA
Borrelia turicatae 91E135,314724,HostAssociated,0,Homo sapiens Ornithodoros turicatae
Arthrobacter aurescens TC1,290340,Terrestrial,0,NA
Mycobacterium vanbaalenii PYR-1,350058,Sediment,0,NA
Marinobacter aquaeolei VT8,351348,Aquatic,0,NA
Desulfovibrio vulgaris DP4,391774,Multiple,0,NA
Shewanella sp. W3-18-1,351745,Multiple,0,NA
Acidovorax citrulli AAC00-1,397945,Multiple,0,NA
Polaromonas naphthalenivorans CJ2,365044,Aquatic,0,NA
Acidovorax sp. JS42,232721,Terrestrial,0,NA
Neisseria meningitidis FAM18,272831,HostAssociated,9606,Homo sapiens
Mycobacterium bovis BCG str. Pasteur 1173P2,410289,HostAssociated,9606,Homo sapiens
Campylobacter jejuni subsp. jejuni 81-176,354242,Multiple,9606,Homo sapiens
Verminephrobacter eiseniae EF01-2,391735,HostAssociated,6396,Eisenia foetida
Bartonella bacilliformis KC583,360095,HostAssociated,9606,Homo sapiens
Burkholderia mallei SAVP1,320388,HostAssociated,9606,Homo sapiens
Halorhodospira halophila SL1,349124,Fresh water Mud,0,NA
Yersinia enterocolitica subsp. enterocolitica 8081,393305,Multiple,9606,Homo sapiens
Prochlorococcus marinus str. AS9601,146891,Aquatic,0,NA
Prochlorococcus marinus str. MIT 9515,167542,Aquatic,0,NA
Hyperthermus butylicus DSM 5456,415426,Aquatic,0,NA
Prochlorococcus marinus str. NATL1A,167555,Aquatic,0,NA
Prochlorococcus marinus str. MIT 9303,59922,Aquatic,0,NA
Methylibium petroleiphilum PM1,420662,Aquatic,0,NA
Burkholderia mallei NCTC 10229,412022,HostAssociated,9606,Homo sapiens
Methanocorpusculum labreanum Z,410358,Aquatic,0,NA
Lactococcus lactis subsp. cremoris MG1363,416870,Multiple,0,NA
Streptococcus sanguinis SK36,388919,HostAssociated,9606,Homo sapiens
Clostridium thermocellum ATCC 27405,203119,Multiple,0,NA
Staphylothermus marinus F1,399550,Specialized,0,NA
Shewanella baltica OS155,325240,Aquatic,0,NA
Rhodobacter sphaeroides ATCC 17029,349101,Multiple,0,NA
Methanoculleus marisnigri JR1,368407,Aquatic,0,NA
Actinobacillus pleuropneumoniae serovar 5b str. L20,416269,HostAssociated,9823,Sus Scrofa
Pyrobaculum calidifontis JCM 11548,410359,Specialized,0,NA
Burkholderia pseudomallei 668,320373,Terrestrial,9606,Homo sapiens
Burkholderia pseudomallei 1106a,357348,Terrestrial,9606,Homo sapiens
Mycobacterium sp. JLS,164757,Multiple,0,NA
Burkholderia mallei NCTC 10247,320389,HostAssociated,9606,Homo sapiens
Acinetobacter baumannii ATCC 17978,400667,Multiple,9606,Homo sapiens
Prochlorococcus marinus str. MIT 9301,167546,Aquatic,0,NA
Shewanella loihica PV-4,323850,Multiple,0,NA
Methanococcus maripaludis C5,402880,Aquatic,0,NA
Herminiimonas arsenicoxydans,204773,Aquatic,0,NA
Salmonella enterica subsp. enterica serovar Newport str. SL254,423368,Multiple,9606,Homo sapiens
Saccharopolyspora erythraea NRRL 2338,405948,Terrestrial,0,NA
Burkholderia vietnamiensis G4,269482,Multiple,0,NA
Desulfotomaculum reducens MI-1,349161,Aquatic,0,NA
Francisella tularensis subsp. tularensis WY96-3418,418136,HostAssociated,9606,Homo sapiens
Geobacillus thermodenitrificans NG80-2,420246,Specialized,0,NA
Streptococcus pyogenes str. Manfredo,160491,HostAssociated,9606,Homo sapiens
Chlorobium phaeovibrioides DSM 265,290318,Aquatic,0,NA
Mycobacterium gilvum PYR-GCK,350054,Soil,0,NA
Corynebacterium glutamicum R,340322,Multiple,0,NA
Pyrobaculum arsenaticum DSM 13514,340102,Aquatic,0,NA
Yersinia pestis Pestoides F,386656,Multiple,9606,Homo sapiens
Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1,312153,Aquatic,0,NA
Salinispora tropica CNB-440,369723,Aquatic,0,NA
Enterobacter sp. 638,399742,HostAssociated,0,NA
Rhodobacter sphaeroides ATCC 17025,349102,Multiple,0,NA
Pseudomonas stutzeri A1501,379731,HostAssociated,0,NA
Caldicellulosiruptor saccharolyticus DSM 8903,351627,Specialized,0,NA
Shewanella putrefaciens CN-32,319224,Multiple,0,NA
Pseudomonas mendocina ymp,399739,Multiple,9606,Homo sapiens
Metallosphaera sedula DSM 5348,399549,Specialized,0,NA
Flavobacterium johnsoniae UW101,376686,Multiple,0,NA
Streptococcus suis 05ZYH33,391295,Multiple,9606,Homo sapiens
Streptococcus suis 98HAH33,391296,Specialized,9606,Homo sapiens
Pseudomonas fluorescens SBW25,216595,Multiple,0,NA
Bradyrhizobium sp. ORS278,114615,HostAssociated,0,NA
Dichelobacter nodosus VCS1703A,246195,HostAssociated,0,NA
Pelotomaculum thermopropionicum SI,370438,Specialized,0,NA
Dehalococcoides sp. BAV1,216389,Fresh water Groundwater,0,NA
Vibrio cholerae O395,345073,Aquatic,9606,Homo sapiens
uncultured methanogenic archaeon RC-I,351160,HostAssociated,0,NA
Candidatus Vesicomyosocius okutanii HA,412965,HostAssociated,0,NA
Clostridium kluyveri DSM 555,431943,Aquatic,0,NA
Acidiphilium cryptum JF-5,349163,Multiple,0,NA
Bradyrhizobium sp. BTAi1,288000,HostAssociated,0,NA
Staphylococcus aureus subsp. aureus JH9,359786,HostAssociated,9606,Homo sapiens
Clavibacter michiganensis subsp. michiganensis NCPPB 382,443906,Multiple,0,NA
Synechococcus sp. WH 7803,32051,Aquatic,0,NA
Synechococcus sp. RCC307,316278,Aquatic,0,NA
Geobacter uraniireducens Rf4,351605,Multiple,0,NA
Thermotoga petrophila RKU-1,390874,Aquatic,0,NA
Orientia tsutsugamushi str. Boryong,357244,HostAssociated,9606,Homo sapiens
Legionella pneumophila str. Corby,400673,HostAssociated,9606,Homo sapiens
Clostridium botulinum A str. ATCC 3502,413999,Multiple,9606,Homo sapiens
Mycoplasma agalactiae PG2,347257,HostAssociated,0,NA
Brucella ovis ATCC 25840,444178,HostAssociated,9940,Sheep
Sphingomonas wittichii RW1,392499,Aquatic,0,NA
Pseudomonas putida F1,351746,Multiple,0,NA
Lactobacillus reuteri DSM 20016,557436,Multiple,9606,Homo sapiens
Methanobrevibacter smithii ATCC 35061,420247,Multiple,0,NA
Psychrobacter sp. PRwf-1,349106,Aquatic,40500,Lutjanus vivanus
Roseiflexus sp. RS-1,357808,Specialized,0,NA
Mycobacterium tuberculosis H37Ra,419947,HostAssociated,9606,Homo sapiens
Mycobacterium tuberculosis F11,336982,HostAssociated,9606,Homo sapiens
Haemophilus influenzae PittEE,374930,HostAssociated,9606,Homo sapiens
Haemophilus influenzae PittGG,374931,HostAssociated,9606,Homo sapiens
Flavobacterium psychrophilum JIP02/86,402612,Aquatic,0,NA
Bacteroides vulgatus ATCC 8482,435590,HostAssociated,9606,Homo sapiens
Parabacteroides distasonis ATCC 8503,435591,HostAssociated,9606,Homo sapiens
Thermosipho melanesiensis BI429,391009,HostAssociated,240807,Bathymodiolus brevior
Clostridium beijerinckii NCIMB 8052,290402,Fresh water Soil,0,NA
Staphylococcus aureus subsp. aureus JH1,359787,HostAssociated,9606,Homo sapiens
Sinorhizobium medicae WSM419,366394,Multiple,0,NA
Alkaliphilus metalliredigens QYMF,293826,Ponds,0,NA
Methanococcus vannielii SB,406327,Aquatic,0,NA
Methanococcus aeolicus Nankai-3,419665,Aquatic,0,NA
Methanococcus maripaludis C7,426368,Aquatic,0,NA
Staphylococcus aureus subsp. aureus str. Newman,426430,HostAssociated,9606,Homo sapiens
Klebsiella pneumoniae subsp. pneumoniae MGH 78578,272620,Multiple,9606,Homo sapiens
Marinomonas sp. MWYL1,400668,Aquatic,0,NA
Actinobacillus succinogenes 130Z,339671,HostAssociated,9913,Bovine
Pseudomonas aeruginosa PA7,381754,Multiple,9606,Homo sapiens
Janthinobacterium sp. Marseille,375286,Aquatic,0,NA
Kineococcus radiotolerans SRS30216,266940,Multiple,0,NA
Shewanella baltica OS185,402882,Aquatic,0,NA
Nitratiruptor sp. SB155-2,387092,Specialized,0,NA
Sulfurovum sp. NBC37-1,387093,Specialized,0,NA
Ochrobactrum anthropi ATCC 49188,439375,Terrestrial,9606,Homo sapiens
Bacillus cytotoxicus NVH 391-98,315749,Terrestrial,0,NA
Anaeromyxobacter sp. Fw109-5,404589,Terrestrial,0,NA
Clostridium botulinum A str. ATCC 19397,441770,Multiple,9606,Homo sapiens
Clostridium botulinum A str. Hall,441771,Multiple,9606,Homo sapiens
Clostridium botulinum F str. Langeland,441772,Multiple,9606,Homo sapiens
Yersinia pseudotuberculosis IP 31758,349747,Multiple,0,NA
Campylobacter jejuni subsp. doylei 269.97,360109,Multiple,9606,Homo sapiens
Methanoregula boonei 6A8,456442,Terrestrial,0,NA
Campylobacter hominis ATCC BAA-381,360107,HostAssociated,9606,Homo sapiens
Campylobacter curvus 525.92,360105,HostAssociated,9606,Homo sapiens
Xanthobacter autotrophicus Py2,78245,Multiple,0,NA
Fervidobacterium nodosum Rt17-B1,381764,Specialized,0,NA
Parvibaculum lavamentivorans DS-1,402881,Multiple,0,NA
Bacillus amyloliquefaciens FZB42,326423,Terrestrial,0,NA
Coxiella burnetii Dugway 5J108-111,434922,HostAssociated,9606,Homo sapiens
Francisella tularensis subsp. holarctica FTNF002-00,458234,Multiple,9606,Homo sapiens
Roseiflexus castenholzii DSM 13941,383372,Aquatic,0,NA
Ignicoccus hospitalis KIN4/I,453591,Aquatic,0,NA
Vibrio harveyi ATCC BAA-1116,2902295,Aquatic,0,NA
Cronobacter sakazakii ATCC BAA-894,290339,HostAssociated,9606,Homo sapiens
Staphylococcus aureus subsp. aureus Mu3,418127,HostAssociated,9606,Homo sapiens
Streptococcus gordonii str. Challis substr. CH1,467705,HostAssociated,9606,Homo sapiens
Escherichia coli E24377A,331111,HostAssociated,9606,Homo sapiens
Citrobacter koseri ATCC BAA-895,290338,Multiple,9606,Homo sapiens
Campylobacter concisus 13826,360104,HostAssociated,9606,Homo sapiens
Escherichia coli HS,331112,HostAssociated,9606,Homo sapiens
Thermotoga lettingae TMO,416591,Specialized,0,NA
Serratia proteamaculans 568,399741,Multiple,9606,Homo sapiens
Shewanella sediminis HAW-EB3,425104,Aquatic,0,NA
Campylobacter jejuni subsp. jejuni 81116,407148,Multiple,9606,Homo sapiens
Prochlorococcus marinus str. MIT 9215,93060,Aquatic,0,NA
Bacillus pumilus SAFR-032,315750,Terrestrial,0,NA
Arcobacter butzleri RM4018,367737,Multiple,9606,Homo sapiens
Rickettsia canadensis str. McKiel,293613,HostAssociated,0,Homo sapiens Tick
Rickettsia akari str. Hartford,293614,HostAssociated,9606,Homo sapiens
Rickettsia rickettsii str. 'Sheila Smith',392021,HostAssociated,9606,Homo sapiens
Rickettsia bellii OSU 85-389,391896,HostAssociated,9606,Dermacentor variabilis Homo sapiens
Rickettsia massiliae MTU5,416276,HostAssociated,34633,Rhipicephalus turanicus
Shewanella pealeana ATCC 700345,398579,HostAssociated,1051067,Loligo pealei
Frankia sp. EAN1pec,298653,Multiple,3193,Plants
Alkaliphilus oremlandii OhILAs,350688,Aquatic,0,NA
Acaryochloris marina MBIC11017,329726,Aquatic,0,NA
Azorhizobium caulinodans ORS 571,438753,HostAssociated,3895,Sesbania rostrata
Desulfococcus oleovorans Hxd3,96561,Aquatic,0,NA
Dinoroseobacter shibae DFL 12,398580,Fresh water,0,NA
Salinispora arenicola CNS-205,391037,Aquatic,0,NA
Caldivirga maquilingensis IC-167,397948,Specialized,0,NA
Herpetosiphon aurantiacus DSM 785,316274,Multiple,0,NA
Methanococcus maripaludis C6,444158,Aquatic,0,NA
Prochlorococcus marinus str. MIT 9211,93059,Aquatic,0,NA
Shewanella baltica OS195,399599,Aquatic,0,NA
Clostridium phytofermentans ISDg,357809,Terrestrial,0,NA
Delftia acidovorans SPH-1,398578,Multiple,0,NA
Petrotoga mobilis SJ95,403833,Specialized,0,NA
Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,HostAssociated,9606,Homo sapiens
Salmonella enterica subsp. arizonae serovar 62:z4 z23:-- str.,41514,HostAssociated,9606,Homo sapiens
Burkholderia multivorans ATCC 17616,395019,HostAssociated,9606,Homo sapiens
Lactobacillus helveticus DPC 4571,405566,Multiple,0,NA
Nitrosopumilus maritimus SCM1,436308,Aquatic,0,NA
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,1016998,NA,0,NA
Brucella canis ATCC 23365,483179,HostAssociated,0,NA
Coxiella burnetii RSA 331,360115,Multiple,9606,Homo sapiens
Candidatus Sulcia muelleri GWSS,444179,HostAssociated,0,NA
Neisseria meningitidis 053442,374833,HostAssociated,9606,Homo sapiens
Gluconacetobacter diazotrophicus PAl 5,272568,HostAssociated,0,NA
Yersinia pestis Angola,349746,Multiple,9606,Homo sapiens
Bartonella tribocorum CIP 105476,382640,HostAssociated,10116,Rat
Sorangium cellulosum 'So ce 56',448385,Terrestrial,0,NA
Acholeplasma laidlawii PG-8A,441768,Specialized,0,NA
Brucella suis ATCC 23445,470137,HostAssociated,9606,Homo sapiens
Renibacterium salmoninarum ATCC 33209,288705,HostAssociated,0,NA
Bordetella petrii DSM 12804,94624,Aquatic,0,NA
Methylobacterium extorquens PA1,419610,Multiple,0,NA
Chloroflexus aurantiacus J-10-fl,324602,Specialized,0,NA
Bacillus weihenstephanensis KBAB4,315730,Terrestrial,0,NA
Rickettsia rickettsii str. Iowa,452659,HostAssociated,9606,Homo sapiens
Actinobacillus pleuropneumoniae serovar 3 str. JL03,434271,HostAssociated,9823,Sus Scrofa
Chlamydia trachomatis L2b/UCH-1/proctitis,471473,HostAssociated,9606,Homo sapiens
Chlamydia trachomatis 434/Bu,471472,HostAssociated,9606,Homo sapiens
Microcystis aeruginosa NIES-843,449447,Aquatic,9606,Homo sapiens
Thermoanaerobacter sp. X514,399726,Deep subsurface Fresh water,0,NA
Thermoanaerobacter pseudethanolicus ATCC 33223,340099,Aquatic,0,NA
Pseudomonas putida GB-1,76869,Multiple,0,NA
Francisella philomiragia subsp. philomiragia ATCC 25017,484022,Multiple,9606,Homo sapiens
Caulobacter sp. K31,366602,Fresh water,0,NA
Shewanella halifaxensis HAW-EB4,458817,Marine Sediment,0,NA
Heliobacterium modesticaldum Ice1,498761,Multiple,0,NA
Halobacterium salinarum R1,478009,Specialized,0,NA
Finegoldia magna ATCC 29328,334413,Multiple,9606,Homo sapiens
Methylobacterium sp. 4-46,426117,Multiple,0,NA
Clostridium botulinum B1 str. Okra,498213,Multiple,9606,Homo sapiens
Streptococcus pneumoniae Hungary19A-6,487214,Multiple,9606,Homo sapiens
Lysinibacillus sphaericus C3-41,444177,Specialized,0,NA
Mycobacterium abscessus ATCC 19977,561007,Multiple,9606,Homo sapiens
Acinetobacter baumannii SDF,509170,Aquatic,9606,Homo sapiens
Clavibacter michiganensis subsp. sepedonicus,31964,Multiple,0,NA
Acinetobacter baumannii AYE,509173,Aquatic,9606,Homo sapiens
Clostridium botulinum A3 str. Loch Maree,498214,Multiple,9606,Homo sapiens
Candidatus Desulforudis audaxviator MP104C,477974,Specialized,0,NA
Yersinia pseudotuberculosis YPIII,502800,Multiple,9606,Homo sapiens
Leuconostoc citreum KM20,349519,NA,0,NA
Escherichia coli ATCC 8739,481805,HostAssociated,9606,Homo sapiens
Escherichia coli str. K-12 substr. DH10B,316385,HostAssociated,9606,Homo sapiens
Synechococcus sp. PCC 7002,32049,Aquatic,0,NA
Candidatus Korarchaeum cryptofilum OPF8,374847,Specialized,0,NA
Thermotoga sp. RQ2,126740,Specialized,0,NA
Escherichia coli SMS-3-5,439855,Multiple,9606,Homo sapiens
Pseudomonas putida W619,390235,Multiple,0,NA
Methylobacterium radiotolerans JCM 2831,426355,HostAssociated,0,Legumes
Ureaplasma parvum serovar 3 str. ATCC 27815,505682,HostAssociated,9606,Homo sapiens
Shewanella woodyi ATCC 51908,392500,Multiple,0,NA
Burkholderia cenocepacia MC0-3,406425,Multiple,9606,Homo sapiens
Xylella fastidiosa M12,405440,HostAssociated,0,NA
Haemophilus somnus 2336,228400,HostAssociated,0,NA
Leptothrix cholodnii SP-6,395495,Aquatic,0,NA
Thermoproteus neutrophilus V24Sta,444157,Specialized,0,NA
Cupriavidus taiwanensis LMG 19424,977880,HostAssociated,0,NA
Polynucleobacter necessarius subsp. necessarius STIR1,452638,HostAssociated,0,NA
Cyanothece sp. ATCC 51142,43989,Aquatic,0,NA
Candidatus Phytoplasma australiense,59748,HostAssociated,0,NA
Corynebacterium urealyticum DSM 7109,504474,HostAssociated,9606,Homo sapiens
Exiguobacterium sibiricum 255-15,262543,Specialized,0,NA
Burkholderia ambifaria MC40-6,398577,Multiple,9606,Homo sapiens
Proteus mirabilis HI4320,529507,HostAssociated,9606,Homo sapiens
Opitutus terrae PB90-1,452637,Aquatic,0,NA
Streptomyces griseus subsp. griseus NBRC 13350,455632,Multiple,0,NA
Xylella fastidiosa M23,405441,HostAssociated,0,NA
Beijerinckia indica subsp. indica ATCC 9039,395963,Soil,0,NA
Streptococcus pneumoniae CGSP14,516950,Multiple,9606,Homo sapiens
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',456481,Multiple,0,NA
Mycobacterium marinum M,216594,Multiple,9606,Homo sapiens
Acinetobacter baumannii ACICU,405416,Aquatic,9606,Homo sapiens
Lactobacillus reuteri JCM 1112,557433,HostAssociated,9606,Homo sapiens
Lactobacillus fermentum IFO 3956,334390,Multiple,9606,Homo sapiens
Kocuria rhizophila DC2201,378753,Multiple,0,NA
Burkholderia phymatum STM815,391038,HostAssociated,53898,Machaerium lunatum
Nostoc punctiforme PCC 73102,63737,Multiple,0,NA
Yersinia pseudotuberculosis PB1/+,502801,Multiple,9606,Homo sapiens
Elusimicrobium minutum Pei191,445932,HostAssociated,0,NA
Bordetella avium 197N,360910,HostAssociated,9103,Turkey
Akkermansia muciniphila ATCC BAA-835,349741,HostAssociated,9606,Homo sapiens
Shigella boydii CDC 3083-94,344609,HostAssociated,9606,Homo sapiens
Borrelia hermsii DAH,314723,HostAssociated,9606,Homo sapiens
Clostridium botulinum B str. Eklund 17B,935198,Multiple,9606,Homo sapiens
Burkholderia phytofirmans PsJN,398527,Terrestrial,0,NA
Francisella tularensis subsp. mediasiatica FSC147,441952,HostAssociated,9606,Homo sapiens
Ralstonia pickettii 12J,402626,Multiple,9606,Homo sapiens
Xanthomonas campestris pv. campestris str. B100,340,HostAssociated,0,NA
Erwinia tasmaniensis Et1/99,465817,HostAssociated,0,NA
Helicobacter pylori Shi470,512562,HostAssociated,9606,Homo sapiens
Natranaerobius thermophilus JW/NM-WN-LF,457570,Specialized,0,NA
Xanthomonas oryzae pv. oryzae PXO99A,360094,HostAssociated,0,NA
Methylobacterium populi BJ001,441620,HostAssociated,3689,Populus
Clostridium botulinum E3 str. Alaska E43,508767,Multiple,9606,Homo sapiens
Porphyromonas gingivalis ATCC 33277,431947,HostAssociated,9606,Homo sapiens
Sulfurihydrogenibium sp. YO3AOP1,436114,Specialized,0,NA
Brucella abortus S19,430066,Multiple,9606,Homo sapiens
Treponema pallidum subsp. pallidum SS14,455434,HostAssociated,9606,Homo sapiens
Orientia tsutsugamushi str. Ikeda,334380,HostAssociated,9606,Homo sapiens
Methylacidiphilum infernorum V4,481448,Specialized,0,NA
Chlorobium limicola DSM 245,290315,Aquatic,0,NA
Corynebacterium aurimucosum ATCC 700975,548476,HostAssociated,9606,Homo sapiens
Geobacter lovleyi SZ,398767,Multiple,0,NA
Candidatus Amoebophilus asiaticus 5a2,452471,HostAssociated,0,NA
Chlorobium phaeobacteroides BS1,331678,Aquatic,0,NA
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)',355278,Multiple,0,NA
Comamonas testosteroni CNB-1,543891,NA,0,NA
Actinobacillus pleuropneumoniae serovar 7 str. AP76,537457,HostAssociated,9823,Sus Scrofa
Stenotrophomonas maltophilia K279a,522373,Multiple,9606,Homo sapiens
Wolbachia endosymbiont of Culex quinquefasciatus Pel,570417,HostAssociated,0,NA
Rhizobium etli CIAT 652,491916,HostAssociated,3885,Phaseolus vulgaris
Cellvibrio japonicus Ueda107,498211,Terrestrial,0,NA
Lactobacillus casei BL23,1597,Specialized,9606,Homo sapiens
Burkholderia cenocepacia J2315,216591,Multiple,9606,Homo sapiens
Rhodopseudomonas palustris TIE-1,395960,Soil,0,NA
Mycoplasma arthritidis 158L3-1,243272,HostAssociated,9606,Homo sapiens
Chloroherpeton thalassium ATCC 35110,517418,Aquatic,0,NA
Chlorobaculum parvum NCIB 8327,517417,Aquatic,0,NA
Neisseria gonorrhoeae NCCP11945,521006,HostAssociated,9606,Homo sapiens
Candidatus Phytoplasma mali,37692,HostAssociated,0,NA
Prosthecochloris aestuarii DSM 271,290512,Aquatic,0,NA
Pelodictyon phaeoclathratiforme BU-1,324925,Multiple,0,NA
Stenotrophomonas maltophilia R551-3,391008,Multiple,9606,Homo sapiens
Streptococcus pneumoniae G54,512566,HostAssociated,9606,Homo sapiens
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,Multiple,9606,Homo sapiens
Salmonella enterica subsp. enterica serovar Schwarzengrund str.,439843,Multiple,9606,Homo sapiens
Hydrogenobaculum sp. Y04AAS1,380749,Aquatic,0,NA
Streptococcus equi subsp. zooepidemicus,552526,HostAssociated,9606,Homo sapiens
Alteromonas macleodii str. 'Deep ecotype',1774373,Aquatic,0,NA
Phenylobacterium zucineum HLK1,450851,HostAssociated,9606,Homo sapiens
Anaeromyxobacter sp. K,447217,Terrestrial,0,NA
Geobacter bemidjiensis Bem,404380,Terrestrial,0,NA
Salmonella enterica subsp. enterica serovar Paratyphi A str.,554290,Multiple,9606,Homo sapiens
Salmonella enterica subsp. enterica serovar Agona str. SL483,454166,Multiple,9606,Homo sapiens
Vibrio fischeri MJ11,388396,Multiple,0,NA
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,439851,Multiple,9606,Homo sapiens
Acidithiobacillus ferrooxidans ATCC 53993,380394,Specialized,0,NA
Borrelia duttonii Ly,412419,HostAssociated,9606,Homo sapiens
Borrelia recurrentis A1,412418,HostAssociated,9606,Homo sapiens
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,550538,Multiple,9606,Homo sapiens
Klebsiella pneumoniae 342,244366,HostAssociated,4577,Zea mays
Salmonella enterica subsp. enterica serovar Enteritidis str.,550537,Specialized,9606,Homo sapiens
Coprothermobacter proteolyticus DSM 5265,309798,Specialized,0,NA
Thermodesulfovibrio yellowstonii DSM 11347,289376,Specialized,0,NA
Dictyoglomus thermophilum H-6-12,309799,Aquatic,0,NA
Aliivibrio salmonicida LFI1238,316275,Aquatic,0,Cod
Helicobacter pylori G27,563041,HostAssociated,9606,Homo sapiens
Escherichia coli O157:H7 str. EC4115,444450,Multiple,9606,Homo sapiens
Lactobacillus casei str. Zhang,1597,Multiple,9606,Homo sapiens
Rhizobium leguminosarum bv. trifolii WSM2304,395492,HostAssociated,3888,Pisum sativum
Ureaplasma urealyticum serovar 10 str. ATCC 33699,565575,HostAssociated,9606,Homo sapiens
Streptococcus pyogenes NZ131,471876,HostAssociated,9606,Homo sapiens
Oligotropha carboxidovorans OM5,504832,Multiple,0,NA
Escherichia coli SE11,409438,HostAssociated,9606,Homo sapiens
Rhodospirillum centenum SW,414684,Aquatic,0,NA
Helicobacter pylori P12,570508,HostAssociated,9606,Homo sapiens
Coxiella burnetii CbuK_Q154,434924,Multiple,9606,Homo sapiens
Coxiella burnetii CbuG_Q212,434923,Multiple,9606,Homo sapiens
Thermococcus onnurineus NA1,523850,Terrestrial,0,NA
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,511995,Specialized,104083,Pseudotrichonympha grassii
Shewanella piezotolerans WP3,225849,Specialized,0,NA
Anoxybacillus flavithermus WK1,491915,Specialized,0,NA
Acinetobacter baumannii AB0057,480119,Multiple,9606,Homo sapiens
Bifidobacterium longum subsp. infantis ATCC 15697,391904,HostAssociated,9606,Homo sapiens
Acinetobacter baumannii AB307-0294,557600,Multiple,9606,Homo sapiens
Escherichia coli O127:H6 str. E2348/69,574521,HostAssociated,9606,Homo sapiens
Thermosipho africanus TCF52B,484019,Specialized,0,NA
Bacillus cereus AH187,405534,Multiple,9606,Homo sapiens
Listeria monocytogenes HCC23,552536,HostAssociated,9606,Cattfish Homo sapiens
Dictyoglomus turgidum DSM 6724,515635,Specialized,0,NA
Thauera sp. MZ1T,85643,Aquatic,0,NA
Shewanella baltica OS223,407976,Aquatic,0,NA
Methylocella silvestris BL2,395965,Terrestrial,0,NA
Borrelia burgdorferi ZS7,445985,HostAssociated,9606,Homo sapiens
Cyanothece sp. PCC 8801,41431,Aquatic,0,NA
Bacillus cereus B4264,405532,Multiple,9606,Homo sapiens
Cyanothece sp. PCC 7424,65393,Aquatic,0,NA
Escherichia coli UMN026,585056,Multiple,9606,Homo sapiens
Escherichia fergusonii ATCC 35469,585054,Multiple,9606,Homo sapiens
Escherichia coli IAI1,585034,Multiple,9606,Homo sapiens
Escherichia coli S88,585035,Multiple,9606,Homo sapiens
Vibrio splendidus LGP32,693153,Aquatic,0,NA
Escherichia coli ED1a,585397,Multiple,9606,Homo sapiens
Escherichia coli 55989,585055,Multiple,9606,Homo sapiens
Escherichia coli IAI39,585057,Multiple,9606,Homo sapiens
Methylobacterium chloromethanicum CM4,440085,Terrestrial,0,NA
